Training Data Percentage,Train Time,Test Time
0.1,0.0021937289999414133,0.0008221330000424132
0.15000000000000002,0.002257041999996545,0.0008129630000439647
0.20000000000000004,0.003865667000013673,0.0017184390000011263
0.25000000000000006,0.0046207269999740674,0.001210489000072812
0.30000000000000004,0.004619190999960665,0.00133122900001581
0.3500000000000001,0.005285293000042657,0.0014562929999328844
0.40000000000000013,0.00542934099996728,0.0012002600000187158
0.45000000000000007,0.0051625190000095245,0.0009588579999899594
0.5000000000000001,0.005581332000019756,0.0008836350000365201
0.5500000000000002,0.005627565999930084,0.0010491660000297998
0.6000000000000002,0.00487692399997286,0.0007302500000605505
0.6500000000000001,0.005180650999932368,0.0007921899999701054
0.7000000000000002,0.005417867999994996,0.0007020639999382183
0.7500000000000002,0.0065567070000724925,0.0006805259999964619
0.8000000000000002,0.006021784999916235,0.0005842740000616686
0.8500000000000002,0.0065473700000211466,0.0006100759999299044
0.9000000000000002,0.007501846999957706,0.0007996340000318014
0.9500000000000003,0.007266433000040706,0.000616274999970301
