Training Data Percentage,Train Time,Test Time
0.1,0.0020188370000369105,0.0005938949999517718
0.15000000000000002,0.001793136000060258,0.0005744300000287694
0.20000000000000004,0.0020524819999536703,0.0005840390000457774
0.25000000000000006,0.0022429929999816522,0.0006481939999503084
0.30000000000000004,0.0022862570000370397,0.0006182479999097268
0.3500000000000001,0.00241081599995141,0.0007203300000355739
0.40000000000000013,0.002610420999985763,0.0006574919999593476
0.45000000000000007,0.0027353069999662694,0.0005826910000905627
0.5000000000000001,0.0027816720000828354,0.0006841149998990659
0.5500000000000002,0.0028878319999421365,0.0005969500000446715
0.6000000000000002,0.0030104230000915777,0.0007466529999646809
0.6500000000000001,0.003419758999939404,0.0008522130000301331
0.7000000000000002,0.0036754210000253806,0.0006658830000105809
0.7500000000000002,0.003377607000061289,0.0005545069999470797
0.8000000000000002,0.0037916160000577293,0.0005584409999528361
0.8500000000000002,0.0035937200000262237,0.000546059000043897
0.9000000000000002,0.0036049440000169852,0.000730266000005031
0.9500000000000003,0.003574107000076765,0.0007214239999484562
