mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__leaf_size,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.0023284554481506348,8.809096665171561e-05,0.0072193145751953125,0.00031900615256667326,1,manhattan,1,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.6644100580270793,0.6849613152804642,0.6061384201516266,0.7002748625687159,0.6639185110213697,0.03566270946015811,484
0.0026404261589050293,0.00021144282947147274,0.004861235618591309,0.0004609462533043096,1,manhattan,1,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.6644100580270793,0.6849613152804642,0.6061384201516266,0.7002748625687159,0.6639185110213697,0.03566270946015811,484
0.0029777884483337402,0.0005697059061173296,0.008577227592468262,0.0009265713710826276,1,manhattan,2,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 2, 'KNN__weights': 'uniform'}",0.5453336557059961,0.6077127659574468,0.5661530936659332,0.6330584707646179,0.5879377245577171,0.03431142639537159,691
0.0027370452880859375,0.00034668131514634353,0.006229758262634277,0.0001476947292292743,1,manhattan,2,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 2, 'KNN__weights': 'distance'}",0.6644100580270793,0.6849613152804642,0.6061384201516266,0.7002748625687159,0.6639185110213697,0.03566270946015811,484
0.0024431943893432617,0.0002075210501219934,0.00844275951385498,0.0005734871730460675,1,manhattan,3,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.633220502901354,0.6814555125725338,0.6150648080215213,0.7335082458770615,0.6656546425800892,0.04589313860759052,464
0.0022167563438415527,2.4270949874193014e-05,0.005938887596130371,0.0004039038903063689,1,manhattan,3,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.633220502901354,0.6814555125725338,0.6265590608950845,0.7335082458770615,0.6685228546565464,0.042903574871892475,427
0.0025039315223693848,0.00033316752382945707,0.00889652967453003,0.0006589439969308607,1,manhattan,4,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.5779738878143134,0.6183510638297872,0.5865737344093912,0.7193903048475764,0.6252954551723271,0.05605425322737265,685
0.0022662878036499023,5.972337817765801e-05,0.006371140480041504,0.00022518054203446783,1,manhattan,4,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.6502659574468086,0.6807301740812379,0.6110295915871853,0.7501249375312344,0.6728660329992986,0.050758727323902283,346
0.002278268337249756,9.689323061443209e-05,0.009014785289764404,8.333034178952156e-05,1,manhattan,5,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.6616295938104448,0.6537717601547389,0.5897529958425045,0.740504747626187,0.6612536604515424,0.05334208821523574,526
0.0024570822715759277,0.00022303993564218826,0.007516443729400635,0.0005476434897805814,1,manhattan,5,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.6453094777562863,0.6537717601547389,0.6061384201516266,0.740504747626187,0.6612395658334994,0.04890351687360491,532
0.002462923526763916,0.00014526094618521476,0.009442627429962158,0.00038232582019655096,1,manhattan,6,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.6205270793036751,0.6453094777562863,0.6069943751528494,0.7372563718140932,0.6522910222064264,0.05065436285938507,646
0.0022478103637695312,5.497732886723685e-05,0.006736457347869873,0.000154710638537449,1,manhattan,6,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.6460348162475822,0.6856866537717603,0.5995353387136221,0.7341329335332336,0.6662193929239416,0.049493866719895606,444
0.002353191375732422,5.2008596274957755e-05,0.009793698787689209,4.423174706579344e-05,1,manhattan,7,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6509912959381045,0.6764990328820116,0.6429444852042066,0.7290104947526238,0.6747190897768683,0.03353057098003323,326
0.002246081829071045,5.38974650202008e-05,0.0070705413818359375,0.00030808694736943773,1,manhattan,7,distance,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.6396276595744681,0.6920938104448744,0.6486916116409883,0.739880059970015,0.6799089802393216,0.039738839770776184,203
0.002300739288330078,0.00014253613030943609,0.010244548320770264,0.0008598306060914305,1,manhattan,8,uniform,"{'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.6474854932301741,0.661629593810445,0.5914649058449502,0.7200149925037483,0.6550257507201219,0.04560087964674235,626
