mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__algorithm,param_KNN__leaf_size,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002680349349975586,0.00010197487891260575,0.007027196884155274,9.517595619570975e-05,ball_tree,1,manhattan,1,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.3675764739594528,0.3703524607779928,0.4089297227595101,0.44132615190484137,0.45935626936851676,0.40934979482338335,0.03682738564946969,117
0.0026710987091064452,0.00015444082019908616,0.003231239318847656,0.0001758548933934117,ball_tree,1,manhattan,1,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.3675764739594528,0.3703524607779928,0.4089297227595101,0.44132615190484137,0.45935626936851676,0.40934979482338335,0.03682738564946969,117
0.0023126125335693358,5.3135023857086715e-05,0.006930017471313476,0.00010544276693533215,ball_tree,1,manhattan,3,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.43184504620674846,0.39716312056737596,0.37359409699835233,0.4652897622891499,0.49929948598044127,0.43324875314856337,0.045254059692451415,105
0.0022214412689208984,8.748936658042578e-05,0.003388118743896484,9.298916333271336e-05,ball_tree,1,manhattan,3,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.4153682212192852,0.418206891611147,0.40267927501970063,0.4558189055280298,0.48752528345302376,0.4357810058449015,0.031271044318410136,100
0.0022591114044189452,2.5571367938774283e-05,0.0072540283203125,0.0002413278746282105,ball_tree,1,manhattan,5,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.45095458127373034,0.3887456121498675,0.4698939752131243,0.46429234166527483,0.5221056245244855,0.45906651404141835,0.042722161140848515,47
0.0022408485412597655,4.351211573375538e-05,0.0036449432373046875,8.258249668429652e-05,ball_tree,1,manhattan,5,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.4124220932731572,0.42115301955727497,0.4279318002722259,0.44675861493069086,0.4983113436879511,0.4411942507556468,0.030610428709731047,96
0.002231121063232422,4.648147374416108e-05,0.007565546035766602,0.00015801086959652458,ball_tree,1,manhattan,7,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.44680851063829796,0.4026971846120783,0.5074593452253028,0.511150234741784,0.5071141605893595,0.4749136415338021,0.04342357390876023,7
0.0022821426391601562,5.378059420656044e-05,0.004060220718383789,9.740890344385079e-05,ball_tree,1,manhattan,7,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.42330217064259634,0.4248782147718319,0.42366036249014993,0.47492762901519786,0.49559047300933395,0.44832904532616563,0.030710797829760897,78
0.0022337913513183595,6.812105722218308e-05,0.007786798477172852,0.0003024877841282946,ball_tree,1,manhattan,9,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.4189232753062541,0.42746615087040624,0.4967046350025075,0.47425958915548616,0.5263922136243018,0.4686266636604697,0.040795068685645725,20
0.0022420406341552733,9.833688676913179e-05,0.004180192947387695,0.00011825513455077891,ball_tree,1,manhattan,9,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.4292571101081741,0.43756716097141646,0.4464503187907444,0.484147970828926,0.5092667334706527,0.46120063480559936,0.030410169058504605,40
0.0021917343139648436,5.8046262944914e-05,0.007838201522827149,0.00016741646011478098,ball_tree,1,manhattan,11,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.4536052009456267,0.4393581202091842,0.5250734293287487,0.49180259422145517,0.5146991964965021,0.4848365416559438,0.03351301961516896,1
0.0027597427368164064,0.0005067074202816885,0.00459141731262207,9.28118421956289e-05,ball_tree,1,manhattan,11,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}",0.4241439214843471,0.43925066265491813,0.45516333548248455,0.45738462394922885,0.49699614021414396,0.4545000446316136,0.02434188852331312,61
