mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__algorithm,param_KNN__leaf_size,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005208492279052734,0.0011871213528483072,0.019045400619506835,0.001066221260983232,ball_tree,1,manhattan,1,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.5860604926431028,0.5433366651640763,0.5895581161902718,0.5771929490932356,0.5944166964371015,0.5781065243430306,0.018279902792964597,113
0.004053926467895508,0.0002486084899856051,0.007328653335571289,0.0005577347300262308,ball_tree,1,manhattan,1,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.5860604926431028,0.5433366651640763,0.5895581161902718,0.5771929490932356,0.5944166964371015,0.5781065243430306,0.018279902792964597,113
0.004001140594482422,0.00022943335881495287,0.01952824592590332,0.00038354317900428906,ball_tree,1,manhattan,3,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.6096993687378943,0.5788377610187517,0.5986850297047813,0.5955941114759027,0.600879665412007,0.5967419306625068,0.010112043075550824,104
0.003913450241088867,0.0001825405511029373,0.008499765396118164,0.0004733068338178483,ball_tree,1,manhattan,3,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.6034313365668565,0.5813091729422902,0.6113972996970433,0.6050739234988116,0.5950949642913255,0.5992580509380537,0.01037452604603575,101
0.004073095321655273,0.00012074072389642539,0.02127103805541992,0.0014837990213588355,ball_tree,1,manhattan,5,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.6236271440644038,0.5890303246158314,0.6119600175136185,0.607025415122113,0.5914316387050971,0.6046225850102792,0.012951416459516687,98
0.004187440872192383,0.00037481119271785037,0.009792566299438477,0.000776547956433177,ball_tree,1,manhattan,5,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.6248278174417201,0.5815689611243612,0.6307102297553119,0.6205897308073515,0.598269647241854,0.6111924715143474,0.018439731370491895,91
0.004364919662475586,0.0008042618056610404,0.02213430404663086,0.0014031505451515722,ball_tree,1,manhattan,7,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.626661025612483,0.5961875205705067,0.6292776266239603,0.6109741746571419,0.6021586847942579,0.6130553487549338,0.013085186484895895,90
0.003797578811645508,0.00010902560198258788,0.010319185256958009,0.00039010838553167664,ball_tree,1,manhattan,7,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.6313959619408991,0.590418204456363,0.6391126916231203,0.6119518674325932,0.6035494055647849,0.6152881418551867,0.017859578007804345,86
0.004033994674682617,0.0003156583617928823,0.02202920913696289,0.0005380524171456914,ball_tree,1,manhattan,9,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.6271613173896027,0.6025361562207352,0.6433728748097748,0.6269949247634325,0.6005085197777563,0.6201135661581937,0.016313641780086728,78
0.0039462089538574215,0.0001723145007571949,0.011022186279296875,0.0007753318907260199,ball_tree,1,manhattan,9,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.6295537911800765,0.6069885994619059,0.642439011358949,0.6182492539279996,0.6205637411045262,0.6235573123672121,0.011865963405436789,71
0.003975963592529297,0.00017586311643877985,0.023029899597167967,0.0007009566170572359,ball_tree,1,manhattan,11,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.6170090331256431,0.6005745887419264,0.6465793430763024,0.6187440996809244,0.5974276985937035,0.616062297083338,0.01746621030785835,82
0.0040413856506347655,0.00013793848190872963,0.011807394027709962,0.0007088816727146085,ball_tree,1,manhattan,11,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}",0.6300040268917136,0.5984686194033297,0.6497978553514564,0.6215654766190022,0.6120356321542431,0.6223713640637419,0.017256512303662905,73
0.004162979125976562,0.00026950747597097286,0.023126649856567382,0.0008229236197152925,ball_tree,1,manhattan,13,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.6166588199190696,0.5925339057143713,0.6498536834064802,0.6322227036807124,0.6178102362300985,0.6218023234118303,0.018943124716918096,75
