mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__algorithm,param_KNN__leaf_size,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003571033477783203,0.0002756372443408483,0.016791248321533205,0.001190749256125726,ball_tree,1,manhattan,1,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.8462132864571889,0.8753973485680802,0.8643582457763388,0.8558672342180459,0.8810793295431114,0.8645789552390394,0.012670309154736716,117
0.003029537200927734,9.722315596470818e-05,0.0031006336212158203,0.00035062296994171584,ball_tree,1,manhattan,1,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.8462132864571889,0.8753973485680802,0.8643582457763388,0.8558672342180459,0.8810793295431114,0.8645789552390394,0.012670309154736716,117
0.0028864860534667967,9.699885184641645e-05,0.01685032844543457,0.0006773614512669221,ball_tree,1,manhattan,3,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.8539039039039039,0.8830879660147953,0.8843696997731227,0.8947219194626919,0.8981058709164286,0.8828228219008569,0.015585561541945514,105
0.003275632858276367,0.00017196337308541946,0.0038207054138183595,0.00026026833555578376,ball_tree,1,manhattan,3,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.8450853292316707,0.8935984765253057,0.8804232104965601,0.8819299201696762,0.8886094500250392,0.8779206908841416,0.01710057718133982,109
0.002930736541748047,7.62472307717359e-05,0.017132139205932616,0.0002632663077278759,ball_tree,1,manhattan,5,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.872950999780268,0.8858089797114186,0.8868146875481839,0.8886978230771497,0.9004624856393791,0.8869388009924591,0.00875156496564646,100
0.003079128265380859,9.919661636181748e-05,0.004282331466674805,0.00024575525622037685,ball_tree,1,manhattan,5,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.8626309236065335,0.8945359994140482,0.8838116845451809,0.8786343417680501,0.8992399917518487,0.8837650067048685,0.012875285655005128,104
0.0033698081970214844,0.0004739565864461434,0.018409538269042968,0.0006606124327467507,ball_tree,1,manhattan,7,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8780194828975316,0.8988500695817768,0.8907611768247466,0.8981942439685392,0.9038464370931159,0.8939274974023652,0.00899032039814273,29
0.003101539611816406,0.0001253977832914615,0.005004167556762695,0.00025500727835728836,ball_tree,1,manhattan,7,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.8705119753900242,0.899978026807295,0.8887016600953032,0.882018293221787,0.9026239432055853,0.888762965125608,0.01180504551622567,93
0.0029878139495849608,6.058148068823392e-05,0.018544960021972656,0.0005165332744224522,ball_tree,1,manhattan,9,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.8722954661979052,0.902417051197539,0.8838116845451809,0.8997002680649248,0.9011179191091998,0.8918614412542764,0.011888181250744924,74
0.0034972190856933593,0.0009746143790710666,0.0067535400390625,0.0016644313984447215,ball_tree,1,manhattan,9,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.8702299860836447,0.9005420054200541,0.8874791662077726,0.8884142928682947,0.9041299673019709,0.8901532150403186,0.011923079017100898,84
0.0028310298919677736,8.652491090620069e-05,0.01937723159790039,0.0020255669414816877,ball_tree,1,manhattan,11,uniform,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.8777374935911522,0.895191532996411,0.8959301599888398,0.9009227619524555,0.9126874245146847,0.8964829093365038,0.011276149724040032,2
0.0027486801147460936,7.436678695999143e-05,0.005611562728881836,0.0002589971477126192,ball_tree,1,manhattan,11,distance,"{'KNN__algorithm': 'ball_tree', 'KNN__leaf_size': 1, 'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'distance'}",0.8650699479967774,0.899978026807295,0.8869211509798307,0.8945267623059476,0.9090199428520932,0.8910927891721209,0.014881420055391004,82
