Training Data Percentage,Train Time,Test Time
0.1,0.0207409660000053,0.015346604999990632
0.15000000000000002,0.03606849199999829,0.018678833999999256
0.20000000000000004,0.07041878100000076,0.022769738000008033
0.25000000000000006,0.10610161000001028,0.02646986399999207
0.30000000000000004,0.1370762810000059,0.0287862219999937
0.3500000000000001,0.18158210300001087,0.03229228799999362
0.40000000000000013,0.2007638380000003,0.03374121299999899
0.45000000000000007,0.2633295570000058,0.035313938999991024
0.5000000000000001,0.3221478429999962,0.0365183140000056
0.5500000000000002,0.37763573700000563,0.03572280699999908
0.6000000000000002,0.41926200300000005,0.03398740599999428
0.6500000000000001,0.5116278129999898,0.03257204700000216
0.7000000000000002,0.6098065300000002,0.03032990299999483
0.7500000000000002,0.6733403619999905,0.02643517500000314
0.8000000000000002,0.7372929960000079,0.02272004299999253
0.8500000000000002,0.886505048999993,0.018708196000005728
0.9000000000000002,0.9614357450000028,0.014223043000001212
0.9500000000000003,1.0615500220000058,0.008004877999994164
