Training Data Percentage,Train Time,Test Time
0.1,0.0023813769998923817,0.0030861230002301454
0.15000000000000002,0.0029441269998642383,0.00393605999988722
0.20000000000000004,0.004142658000091615,0.004851173000133713
0.25000000000000006,0.0048188319997279905,0.005680932999894139
0.30000000000000004,0.006072656000014831,0.0057842129999698955
0.3500000000000001,0.007638675000180228,0.006272127999636723
0.40000000000000013,0.009321712000200932,0.006532164999953238
0.45000000000000007,0.01107532199966954,0.006577315000413364
0.5000000000000001,0.01349542499974632,0.00633913699994082
0.5500000000000002,0.015612448999945627,0.006675068999811629
0.6000000000000002,0.018675938999876962,0.006155680000119901
0.6500000000000001,0.021191513999838207,0.005938171999787301
0.7000000000000002,0.024061444999915693,0.005224871999871539
0.7500000000000002,0.029930032000265783,0.0062956100000519655
0.8000000000000002,0.044272503000229335,0.0061162309998508135
0.8500000000000002,0.049340390999986994,0.004740321000099357
0.9000000000000002,0.04212681299986798,0.002850071000011667
0.9500000000000003,0.04364093599997432,0.0018499809998502315
