Training Data Percentage,Train Time,Test Time
0.1,0.010218486999747256,0.01331656499996825
0.15000000000000002,0.021795726000163995,0.017719132999900467
0.20000000000000004,0.03782510200016986,0.022161269999742217
0.25000000000000006,0.05287969699975292,0.023824378000426805
0.30000000000000004,0.07667775400022947,0.0261897760001375
0.3500000000000001,0.11895896199985145,0.028926719000082812
0.40000000000000013,0.19022421199997552,0.029704107000270596
0.45000000000000007,0.21301302100027897,0.030302837999897747
0.5000000000000001,0.2596483049997005,0.030584822000037093
0.5500000000000002,0.3362096869996094,0.04192465800042555
0.6000000000000002,0.43808552300015435,0.029030818000137515
0.6500000000000001,0.4910045229999014,0.03886765000015657
0.7000000000000002,0.656128014999922,0.02584392000017033
0.7500000000000002,0.6804660310003783,0.02336883799989664
0.8000000000000002,0.8913959120000072,0.02307283699974505
0.8500000000000002,0.9791160200002196,0.01810632099977738
0.9000000000000002,1.0580610759998308,0.013127543000337027
0.9500000000000003,1.1721261049997338,0.006757133000064641
