Iterations,Train Accuracy,Test Accuracy
1,0.9471719457013575,0.9727272727272729
11,0.9647058823529413,0.9818181818181818
21,0.9647435897435898,0.9818181818181818
31,0.9627828054298643,0.9818181818181818
41,0.9627828054298643,0.9818181818181818
51,0.9627828054298643,0.9818181818181818
61,0.9627828054298643,0.9818181818181818
71,0.9647435897435898,0.9818181818181818
81,0.9686651583710407,0.9818181818181818
91,0.9667420814479639,0.9818181818181818
101,0.9667043740573152,0.9818181818181818
111,0.9706259426847662,0.9818181818181818
121,0.9667043740573152,0.9818181818181818
131,0.9686651583710407,0.9818181818181818
141,0.9686651583710407,0.9818181818181818
151,0.9686651583710407,0.9818181818181818
161,0.9705882352941175,0.9818181818181818
171,0.9705882352941175,0.9818181818181818
181,0.968627450980392,0.9818181818181818
191,0.968627450980392,0.9818181818181818
201,0.968627450980392,0.9818181818181818
211,0.968627450980392,0.9818181818181818
221,0.9705882352941175,0.9818181818181818
231,0.9705882352941175,0.9818181818181818
241,0.968627450980392,0.9818181818181818
251,0.9705882352941175,0.9818181818181818
261,0.9686274509803923,0.9818181818181818
271,0.9705882352941178,0.9818181818181818
281,0.9686274509803923,0.9818181818181818
291,0.9686274509803923,0.9818181818181818
