Training Data Percentage,Train Time,Test Time
0.1,0.017543884000133403,0.005235224999978527
0.15000000000000002,0.02051055299989457,0.005170605999865074
0.20000000000000004,0.024358083000151964,0.004783281999607425
0.25000000000000006,0.028991328999836696,0.005097564000152488
0.30000000000000004,0.03170687700003327,0.0049321349997626385
0.3500000000000001,0.035144792000210145,0.005025538000154484
0.40000000000000013,0.041329072000280576,0.004697024000051897
0.45000000000000007,0.042004120999990846,0.004271589999916614
0.5000000000000001,0.04253892899987477,0.0038428249999924446
0.5500000000000002,0.04446606500005146,0.003635811000094691
0.6000000000000002,0.04787194000027739,0.0031780449999132543
0.6500000000000001,0.04960334200040961,0.0029239809996397526
0.7000000000000002,0.052484811000340414,0.0026749740000013844
0.7500000000000002,0.07359878399984154,0.003333494000344217
0.8000000000000002,0.06125699100039128,0.0025155439998343354
0.8500000000000002,0.061941866999859485,0.002168068000173662
0.9000000000000002,0.07070282699987729,0.002589155000350729
0.9500000000000003,0.07518733200004135,0.001964471999599482
