Iterations,Train Accuracy,Test Accuracy
1,0.6119992199300889,0.5789504567324315
11,0.6219146344755213,0.6192649621165385
21,0.6255406651148849,0.6159229858240407
31,0.63158142409145,0.6243861092298288
41,0.6377505014931302,0.6219018078129103
51,0.6394584842408363,0.6198512705634887
61,0.6384573137817446,0.6277444501014399
71,0.6453630206647655,0.6311136147891574
81,0.6464005449629129,0.6369066111048314
91,0.6476760784503269,0.6338591967104351
101,0.6470346459250303,0.6281014908739031
111,0.6440368535245768,0.6222411218253215
121,0.6462193885305499,0.6179090377433936
131,0.646856127242162,0.6164149671855345
141,0.6472953356007929,0.6188815323755066
151,0.6484722654025221,0.6154882097507037
161,0.6493729176359266,0.6194923490346407
171,0.6493588450504999,0.6169648596447681
181,0.648683996996267,0.6175454521911623
191,0.6473497537901025,0.6223546141128635
201,0.6476866840082519,0.6166158047237996
211,0.6489225860466463,0.6218508412082644
221,0.650032619053231,0.6211111206831934
231,0.6494112911879861,0.6208806417721421
241,0.6481791592584211,0.6176709726941733
251,0.6497958881587156,0.6150001250681958
261,0.6476037365394378,0.614329448182921
271,0.6460278301533356,0.6117967614679384
281,0.6459587502970218,0.6111110032937008
291,0.6438539421524903,0.6165106217399828
