Iterations,Train Accuracy,Test Accuracy
1,0.9852782787894636,0.9479520825172999
11,0.9939184672733162,0.9616692779736258
21,0.995072441183828,0.9594953649301475
31,0.996015837410243,0.9594953649301475
41,0.9969504168494954,0.9594953649301475
51,0.99577394626126,0.9594953649301475
61,0.996015837410243,0.9616692779736258
71,0.99577394626126,0.9616692779736258
81,0.99577394626126,0.9594953649301475
91,0.996015837410243,0.9594953649301475
101,0.9969504168494954,0.9616692779736258
111,0.996015837410243,0.9594953649301475
121,0.996015837410243,0.9616692779736258
131,0.996015837410243,0.9594953649301475
141,0.996015837410243,0.9594953649301475
151,0.996015837410243,0.9616692779736258
161,0.996015837410243,0.9616692779736258
171,0.996015837410243,0.9594953649301475
181,0.996015837410243,0.9616692779736258
191,0.996015837410243,0.9594953649301475
201,0.996015837410243,0.9594953649301475
211,0.996015837410243,0.9594953649301475
221,0.996015837410243,0.9616692779736258
231,0.996015837410243,0.9616692779736258
241,0.996015837410243,0.9616692779736258
251,0.996015837410243,0.9616692779736258
261,0.996015837410243,0.9616692779736258
271,0.996015837410243,0.9616692779736258
281,0.996015837410243,0.9616692779736258
291,0.996015837410243,0.9594953649301475
