Training Data Percentage,Train Time,Test Time
0.1,0.002119797999966977,0.03463173899990579
0.15000000000000002,0.0019053639998674043,0.032861244000287115
0.20000000000000004,0.0015448379999725148,0.033923923000202194
0.25000000000000006,0.0015885679999882996,0.031186620999960724
0.30000000000000004,0.0024991240002236736,0.030080469999575143
0.3500000000000001,0.0033690689997456502,0.031830893000005744
0.40000000000000013,0.0019027150001420523,0.02757607800003825
0.45000000000000007,0.002211276999787515,0.02541320500040456
0.5000000000000001,0.002387266999903659,0.024793816000055813
0.5500000000000002,0.0017033799999808252,0.022536187000241625
0.6000000000000002,0.0019298880001770158,0.021634381999774632
0.6500000000000001,0.0025113579999924696,0.020099208999909024
0.7000000000000002,0.002007382000101643,0.015588500999911048
0.7500000000000002,0.0023024280003483,0.013436002999696939
0.8000000000000002,0.0020454589998735173,0.011596893999922031
0.8500000000000002,0.002238449000287801,0.00830291500005842
0.9000000000000002,0.0023096919999261445,0.005961960000149702
0.9500000000000003,0.0032111880000229576,0.0034593479999784904
