Training Data Percentage,Train Time,Test Time
0.1,0.001725924999846029,0.015786303999902884
0.15000000000000002,0.0016725870000300347,0.014677661999940028
0.20000000000000004,0.0020671610000135843,0.014066160999846034
0.25000000000000006,0.0017045370000232651,0.013778139999885752
0.30000000000000004,0.0018088140000145358,0.012091769999642565
0.3500000000000001,0.0017122019999078475,0.01192255500018291
0.40000000000000013,0.0017364989998895908,0.010854552000182593
0.45000000000000007,0.0018661980002434575,0.010198639999998704
0.5000000000000001,0.0017305070000475098,0.00990776399976312
0.5500000000000002,0.0017635450003581354,0.008474264999676961
0.6000000000000002,0.002266363999751775,0.007426012999985687
0.6500000000000001,0.002278819999901316,0.007251539999742818
0.7000000000000002,0.002699385000141774,0.006967350000195438
0.7500000000000002,0.0019795539997176093,0.005096186000173475
0.8000000000000002,0.0018472230003681034,0.005533445999844844
0.8500000000000002,0.0019125670000903483,0.0034437019999131735
0.9000000000000002,0.0028930299999956333,0.006564987999809091
0.9500000000000003,0.0034889270000348915,0.002770892000171443
