Training Data Percentage,Train Time,Test Time
0.1,0.002437976000010167,0.1681761639999877
0.15000000000000002,0.0024477570000271953,0.12091504500000383
0.20000000000000004,0.0018894309999950565,0.12148212900001454
0.25000000000000006,0.0019203279999828737,0.11296459099997946
0.30000000000000004,0.0020647660000463475,0.10394273899999007
0.3500000000000001,0.00207639399997106,0.09314106900001207
0.40000000000000013,0.0021768010000187132,0.09563514999996414
0.45000000000000007,0.002925344999994195,0.12336458800001537
0.5000000000000001,0.002827546999981223,0.09481009300003507
0.5500000000000002,0.003330839999989621,0.07302818900001284
0.6000000000000002,0.002743666000014855,0.057390215999987504
0.6500000000000001,0.002599066000016137,0.048089392999997926
0.7000000000000002,0.0045184059999883175,0.05093130000000201
0.7500000000000002,0.003617857999984153,0.04002444100001412
0.8000000000000002,0.003279493000036382,0.03028152499996395
0.8500000000000002,0.0033155230000261326,0.028235167999980604
0.9000000000000002,0.004468140000028598,0.02461247399998001
0.9500000000000003,0.007983500000023014,0.018712225999991006
