Training Data Percentage,Train Time,Test Time
0.1,0.002810859000000221,0.0026634500000000116
0.15000000000000002,0.003686163000004683,0.0032690319999986173
0.20000000000000004,0.004343674999994107,0.004107450000006452
0.25000000000000006,0.005262564999995334,0.004447379000005469
0.30000000000000004,0.00711554300000472,0.004569254999999828
0.3500000000000001,0.009637298999997768,0.005082139000002428
0.40000000000000013,0.01133533000000142,0.005324448999999731
0.45000000000000007,0.013376415999999836,0.005569570999995221
0.5000000000000001,0.015481000999997718,0.00520840400000111
0.5500000000000002,0.01890329900000154,0.0057335719999969115
0.6000000000000002,0.021883279999997285,0.005226411999998959
0.6500000000000001,0.024608826000005024,0.005128632999998217
0.7000000000000002,0.028829038000004914,0.004702309999998988
0.7500000000000002,0.03234223199999775,0.0043797630000028676
0.8000000000000002,0.03942182299999786,0.0040461749999991525
0.8500000000000002,0.04366501400000544,0.0032728019999979097
0.9000000000000002,0.05028725100000031,0.003012028999997085
0.9500000000000003,0.056162114999999346,0.001643954000002168
