Training Data Percentage,Train Time,Test Time
0.1,0.004886083000000596,0.012258209999999714
0.15000000000000002,0.008240511999999534,0.015661048000000122
0.20000000000000004,0.012476710000000502,0.0217348709999996
0.25000000000000006,0.02072690700000024,0.023137880000000166
0.30000000000000004,0.027364555000000124,0.02546553100000004
0.3500000000000001,0.039469374999999474,0.02850639100000052
0.40000000000000013,0.05529029400000063,0.0310557160000009
0.45000000000000007,0.05960351699999933,0.028390432000000132
0.5000000000000001,0.07491350899999993,0.029385558999999617
0.5500000000000002,0.09549526600000036,0.028547036999999165
0.6000000000000002,0.11491668600000082,0.03114859299999928
0.6500000000000001,0.14208261100000108,0.028069025999998942
0.7000000000000002,0.15169337699999907,0.02462617499999986
0.7500000000000002,0.17656909000000098,0.023106766999999806
0.8000000000000002,0.18938487399999993,0.018884658000001053
0.8500000000000002,0.23906308900000006,0.015331032000000633
0.9000000000000002,0.26742667099999906,0.011142238999999776
0.9500000000000003,0.29539629499999975,0.006199441999999777
