mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12598013877868652,0.0036071155340974765,0.0011018753051757813,4.431677449261157e-05,relu,0.31622776601683794,"(12,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (12,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.5192617666021923,0.41092664230962117,0.5476305609284333,0.5147687839818886,0.48768997383510543,0.49603547246305996,0.04669836701493132,49
0.15874309539794923,0.005092234403524354,0.0012547492980957032,8.736593704282609e-05,relu,0.31622776601683794,"(25,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (25,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.48235009671179896,0.4793412851923492,0.5395712443584785,0.5399780103546178,0.5106654419269239,0.5103232505859163,0.026390554840828074,28
0.18776841163635255,0.004850784208942853,0.0012337207794189454,3.064939224759107e-05,relu,0.31622776601683794,"(50,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.506339995701698,0.46551507987678215,0.5749247797120138,0.5786825697266603,0.4980654679062517,0.5246525487486704,0.04469804286680242,5
0.17558736801147462,0.009526607593651011,0.0011729717254638672,6.403079726535306e-05,relu,0.31622776601683794,"(12, 12)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (12, 12), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.47616233254531143,0.44135503975929524,0.527491224299735,0.5438447549592681,0.4646217224294382,0.4906424901666184,0.03872831528923369,51
0.23096055984497071,0.00673083760055882,0.001285219192504883,1.500984610346425e-05,relu,0.31622776601683794,"(25, 25)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (25, 25), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.4387671036607208,0.4530141843971633,0.5861630489290065,0.5784320547792685,0.522026758707714,0.5155465902241685,0.06135597870359778,16
0.29734368324279786,0.008722628548196448,0.0013994693756103516,0.00014132518647310747,relu,0.31622776601683794,"(50, 50)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (50, 50), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.4807292786016192,0.429928719822337,0.5651819614585574,0.5660825957059882,0.5049824639536826,0.5092795430901191,0.05196659262670719,30
0.12960662841796874,0.0059622980970966515,0.0011304855346679688,3.3363815847717616e-05,relu,0.1778279410038923,"(12,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (12,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.44002972992334705,0.4135145784081955,0.5263360555913749,0.5516710274824175,0.5041659707918128,0.48698527640956457,0.05223046857202555,53
0.1667151927947998,0.012231046526127472,0.0012321949005126953,4.113571106670085e-05,relu,0.1778279410038923,"(25,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (25,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.4847499820904077,0.4366627265563437,0.5597105809871769,0.5587573530776224,0.5126370873462116,0.510405801397778,0.04666802652827525,27
0.19377927780151366,0.009112150395250583,0.0013623237609863281,0.0002452221492437415,relu,0.1778279410038923,"(50,)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (50,), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.5054982448599471,0.46551507987678215,0.533320796618669,0.5552083913229044,0.5482125294587021,0.5214339979445168,0.03281104213806858,9
0.17328057289123536,0.007080319708523413,0.0011610031127929688,9.16076783376504e-05,relu,0.1778279410038923,"(12, 12)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (12, 12), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.46076008310050875,0.4679149652553909,0.5261659144637869,0.5192247026294791,0.518897641448162,0.4985132491169656,0.028206128810582813,47
0.2661893367767334,0.02124091262980936,0.0015218257904052734,0.00025697638832145514,relu,0.1778279410038923,"(25, 25)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (25, 25), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.5033311841822481,0.46370621104663673,0.5547854430833156,0.5689635176009946,0.530101226595409,0.5240791465479032,0.03762087806990816,6
0.3074785232543945,0.01966379995240319,0.0015350818634033204,0.00025531936507028314,relu,0.1778279410038923,"(50, 50)",constant,adam,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1778279410038923, 'MLP__hidden_layer_sizes': (50, 50), 'MLP__learning_rate': 'constant', 'MLP__solver': 'adam'}",0.5149903288201162,0.4647360126083532,0.5685489648255607,0.5319035424669227,0.5267215943884652,0.5213493127545478,0.033567786638161505,10
