mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11067609786987305,0.008978087906219609,0.0024680614471435545,0.00020691075858917516,logistic,1000.0,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.33333333333333337,0.33693693693693694,0.3333333333333333,0.3340533143475326,0.0014408863648766015,136
0.23778557777404785,0.02975929701963103,0.0037416934967041014,0.0006352286458284701,logistic,1000.0,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5027047752410958,0.3333333333333333,0.3558647756667559,0.34348561759729274,0.33333333333333337,0.37381878023405857,0.065069401559316,133
0.2948592185974121,0.029738505274392868,0.005383348464965821,0.0008579595260275861,logistic,1000.0,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33840947546531297,0.3333333333333333,0.3621264829185621,0.33333333333333337,0.3333333333333333,0.3401037126173271,0.011178849012555349,135
0.28876585960388185,0.10090161369280469,0.0033351421356201173,0.0002733383736775526,logistic,1000.0,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.33333333333333326,6.565599415366589e-17,141
0.5550777435302734,0.06822852244728707,0.005971240997314453,0.0010044113044893966,logistic,1000.0,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.33333333333333326,6.565599415366589e-17,141
1.428716230392456,0.1329135156407541,0.010660076141357422,0.0009897667048590457,logistic,1000.0,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1000.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.33333333333333326,0.33333333333333337,0.33333333333333337,0.3333333333333333,4.9646436331578846e-17,138
0.1468900680541992,0.02659667818955984,0.0028161048889160157,0.0003966276505977368,logistic,316.22776601683796,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.547039750610554,0.5420552957748827,0.33333333333333337,0.5196512036990502,0.400990099009901,0.4686927230019792,0.08604081393779398,126
0.2008510112762451,0.021721099058728335,0.003816652297973633,0.0010189802040936273,logistic,316.22776601683796,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5471314379068623,0.4970868445400215,0.4993215057546364,0.5279804506723138,0.4088738987768992,0.4961141040398159,0.04740820415553543,123
0.3100149154663086,0.047857455727490485,0.004760932922363281,0.000823483696150737,logistic,316.22776601683796,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.4222961878134292,0.3333333333333333,0.4848972206865356,0.3978684821424933,0.3943135273085901,0.05733311534784829,131
0.22769632339477539,0.025604907077146997,0.003261423110961914,0.00037315972078990137,logistic,316.22776601683796,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.3333333333333333,4.30012045273946e-17,138
0.5044796943664551,0.019243882373483057,0.006233787536621094,0.0005132549802481638,logistic,316.22776601683796,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.40189876055445806,0.3333333333333333,0.507371295505185,0.3333333333333333,0.3818276695744279,0.06812350026546546,132
1.3892993450164794,0.0726546539787921,0.011265039443969727,0.0012160603607973472,logistic,316.22776601683796,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 316.22776601683796, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.33333333333333326,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.33333333333333326,6.565599415366589e-17,141
