mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate,param_MLP__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.04155397415161133,0.006462956067390625,0.0016955137252807617,7.118012533330976e-05,logistic,100.0,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 100.0, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.484375,0.5,0.5224454365079366,0.5016645214021682,0.01354968425253114,137
0.07699477672576904,0.0049698833380100735,0.002201080322265625,5.511596091279223e-05,logistic,100.0,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 100.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.5,0.5,0.5,0.5,0.0,138
0.24432867765426636,0.05555156113772395,0.0030667781829833984,0.00015543072029437514,logistic,100.0,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 100.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.5,0.5,0.701264880952381,0.5500208216848383,0.08697903264300469,128
0.046280086040496826,0.019965951528690757,0.0014349818229675293,5.1700389955235166e-05,logistic,31.622776601683793,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.921875,0.703125,0.90625,0.7783978174603174,0.8275078724412139,0.09087636015031735,105
0.051852643489837646,0.011471978353825883,0.0016316771507263184,3.857535064104108e-05,logistic,31.622776601683793,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.890625,0.8515625,0.7967509920634921,0.8614234363836859,0.04219938291201736,78
0.08057087659835815,0.01906558965248317,0.0021741390228271484,0.00044969169732967187,logistic,31.622776601683793,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.875,0.890625,0.8969494047619048,0.890239871633585,0.009286320205119948,43
0.048171818256378174,0.009031639570256489,0.0016474127769470215,3.805610705099384e-05,logistic,31.622776601683793,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.5,0.6171875,0.49962797619047616,0.5292617475072221,0.050830411311258324,130
0.09678781032562256,0.021402181899568523,0.0022281408309936523,0.00010145677056537283,logistic,31.622776601683793,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.6953125,0.7421875,0.5,0.5,0.6095890410958904,0.11062567742674172,127
0.21014302968978882,0.018339244389889625,0.003081083297729492,9.235450719950945e-05,logistic,31.622776601683793,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 31.622776601683793, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.53125,0.5,0.5,0.5,0.5078277886497065,0.01354046233179848,132
0.04170948266983032,0.00349028549984966,0.0014080405235290527,4.336773496828213e-05,logistic,10.0,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.859375,0.8984375,0.8971974206349207,0.8883445644239432,0.016755031670712458,49
0.05539900064468384,0.016067307144367438,0.0016464591026306152,9.514251277977301e-05,logistic,10.0,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.78125,0.8671875,0.921875,0.865451388888889,0.8589282316808002,0.05031504778471084,82
0.0880352258682251,0.023022765581925304,0.0021203160285949707,0.0003904096179327776,logistic,10.0,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.8671875,0.8671875,0.9211309523809524,0.8884219783803933,0.022735840698981106,47
0.07737904787063599,0.01772148313532601,0.0017691254615783691,0.00019476794269085855,logistic,10.0,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8671875,0.7734375,0.765625,0.4998759920634921,0.726975050865095,0.13659147945370215,120
0.10592222213745117,0.010447371365650658,0.0021938681602478027,6.733612986564358e-05,logistic,10.0,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.875,0.8046875,0.8046875,0.7620287698412699,0.8116979525828596,0.040515492150724676,109
0.21125423908233643,0.014115836623185699,0.003354191780090332,0.0003932876704980954,logistic,10.0,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.5,0.5,0.5876736111111112,0.5217897233094151,0.03788920275946046,131
0.03579819202423096,0.005937042691840088,0.0015000104904174805,0.0002423581147560462,logistic,3.1622776601683795,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.875,0.828125,0.796875,0.8816964285714287,0.8453531241263629,0.03480608904513128,95
0.043463706970214844,0.006622511712462852,0.001683354377746582,0.00017682611718772585,logistic,3.1622776601683795,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.859375,0.890625,0.8573908730158731,0.8784513520019881,0.020786557939712468,57
0.07009226083755493,0.008126332336701613,0.0018912553787231445,4.5571795212986024e-05,logistic,3.1622776601683795,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.8671875,0.859375,0.7937748015873017,0.8528559683005623,0.03587394115991521,88
0.06988179683685303,0.012215404257667449,0.0016527175903320312,7.425025984306464e-05,logistic,3.1622776601683795,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.875,0.890625,0.875,0.9133184523809524,0.8884372670300997,0.015668929673072016,46
0.16645413637161255,0.039895353528339596,0.002149045467376709,2.096753823438807e-05,logistic,3.1622776601683795,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.8125,0.890625,0.873139880952381,0.8686668588668345,0.03373391888236062,66
0.3963193893432617,0.14471354424572505,0.003148496150970459,0.00034725305408545855,logistic,3.1622776601683795,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.5,0.890625,0.9296875,0.873263888888889,0.7982475809958687,0.17362362348420224,112
0.03279048204421997,0.005684483932203104,0.0014412999153137207,0.00012452679930472353,logistic,1.0,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.875,0.8125,0.5703125,0.857514880952381,0.7786778666946231,0.12259910295377557,116
0.048817455768585205,0.007466498699470695,0.001675248146057129,0.0001329801398756889,logistic,1.0,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.796875,0.8515625,0.849826388888889,0.8511310203305067,0.038714991840062635,89
0.05811542272567749,0.0072105105266341086,0.001913607120513916,8.082572247829437e-05,logistic,1.0,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.828125,0.84375,0.8515625,0.8738839285714287,0.8492823071009226,0.0164777874636859,91
0.05970311164855957,0.008933048869898708,0.0016912221908569336,0.0001045745444570105,logistic,1.0,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.8359375,0.921875,0.9210069444444445,0.8923050527288541,0.034933515459061586,41
0.17341691255569458,0.04640036278975913,0.0021581649780273438,4.8942346174708656e-05,logistic,1.0,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9140625,0.8671875,0.8828125,0.9130704365079366,0.8942464685645948,0.02006437853196771,40
0.39461708068847656,0.07033877621109096,0.0030136704444885254,5.946175016758862e-05,logistic,1.0,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 1.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.84375,0.859375,0.8493303571428572,0.8607924762370702,0.018133929065715235,80
0.03220391273498535,0.0071257114579517606,0.0013495087623596191,2.206587778433678e-05,logistic,0.31622776601683794,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9296875,0.7890625,0.7578125,0.8816964285714287,0.8394822826390831,0.06920009473351228,99
0.04837900400161743,0.02226965340830131,0.0015957355499267578,4.6539587563307845e-05,logistic,0.31622776601683794,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.8046875,0.859375,0.8975694444444445,0.8669106055664275,0.040066353111236984,67
0.06190222501754761,0.01449102524812842,0.0018597841262817383,6.70651587440262e-06,logistic,0.31622776601683794,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.7265625,0.8984375,0.8661954365079366,0.8473714685645948,0.07106566538517244,93
0.05842679738998413,0.010225975662056954,0.00160902738571167,7.631955238596084e-06,logistic,0.31622776601683794,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.84375,0.8203125,0.9296875,0.9138144841269842,0.8768188639611095,0.045978556361289,58
0.1283215880393982,0.012155511097022849,0.00212019681930542,7.401303413144534e-06,logistic,0.31622776601683794,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.84375,0.8046875,0.9057539682539683,0.8611169353586183,0.03983061143460143,79
0.39689022302627563,0.08851415532650098,0.0031099915504455566,9.22501801581518e-05,logistic,0.31622776601683794,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.31622776601683794, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.7578125,0.8828125,0.9210069444444445,0.8629508452924549,0.0624280419737486,75
0.04656565189361572,0.011632537094368796,0.0014458894729614258,7.291955360486252e-05,logistic,0.1,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.7734375,0.84375,0.8971974206349207,0.8550764626626907,0.052901128942359585,87
0.05930972099304199,0.025914769864560466,0.0015882253646850586,1.9413553974011878e-05,logistic,0.1,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.8359375,0.859375,0.857514880952381,0.8647835418413942,0.02568261755190688,71
0.0741470456123352,0.03062320537318927,0.0020032525062561035,0.00016906217356266458,logistic,0.1,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9140625,0.7890625,0.8671875,0.8658234126984127,0.8590206916099774,0.04486671431386174,81
0.0746951699256897,0.01709893501774991,0.001604914665222168,1.4349253428961447e-05,logistic,0.1,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.8203125,0.890625,0.8971974206349208,0.87855982861181,0.03412774007181559,55
0.15552663803100586,0.02564590071033359,0.002364039421081543,0.000222639330005602,logistic,0.1,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9140625,0.7890625,0.8828125,0.873139880952381,0.8647529645419813,0.046295676942328425,72
0.3764547109603882,0.06319924680703627,0.0038394927978515625,0.0013140614155093804,logistic,0.1,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8515625,0.8203125,0.8671875,0.8896329365079366,0.8571103384276085,0.025203308888278302,84
0.0385211706161499,0.005494732355291617,0.0014339089393615723,0.00010504893791454804,logistic,0.03162277660168379,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.8046875,0.84375,0.842013888888889,0.8472324146553599,0.033466131582458813,94
0.0448378324508667,0.012389337917011505,0.0017194747924804688,0.00023878980584540816,logistic,0.03162277660168379,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.859375,0.8203125,0.875,0.8200644841269842,0.8437342259963346,0.024141212010112746,96
0.06457477807998657,0.01086694132563307,0.0019276738166809082,3.218005036102036e-05,logistic,0.03162277660168379,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.7890625,0.859375,0.8100198412698413,0.839280860746125,0.04268758739538857,101
0.06211376190185547,0.008658745943338441,0.0016571879386901855,3.328752652262957e-05,logistic,0.03162277660168379,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8671875,0.8046875,0.921875,0.8824404761904763,0.8690214099338366,0.04221464253330971,65
0.14203011989593506,0.0073714280818252455,0.002291381359100342,7.776272872181906e-05,logistic,0.03162277660168379,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9140625,0.78125,0.8984375,0.9048859126984128,0.874599825660858,0.05425127225319986,60
0.4243542551994324,0.17526775278420917,0.0036742687225341797,0.0007119281971497101,logistic,0.03162277660168379,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.03162277660168379, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.9375,0.8515625,0.921875,0.8897569444444445,0.9001939959773864,0.032952202013585216,32
0.03316199779510498,0.00790639370659059,0.001413583755493164,2.4809856128850476e-05,logistic,0.01,"(125,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (125,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.7265625,0.78125,0.8359375,0.8183283730158731,0.7904651729413227,0.041893339310904,114
0.041674017906188965,0.004786392498773699,0.0016626715660095215,5.402861044761479e-05,logistic,0.01,"(250,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.8984375,0.796875,0.8359375,0.8256448412698413,0.839250283446712,0.03709507390656405,102
0.06390273571014404,0.009388315407444338,0.0019761323928833008,7.329355133213642e-05,logistic,0.01,"(500,)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.890625,0.828125,0.859375,0.7937748015873017,0.8430712324884293,0.03595767427363525,98
0.06039834022521973,0.011848166657148915,0.0017259716987609863,0.00021049804568791476,logistic,0.01,"(125, 125)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (125, 125), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.8671875,0.890625,0.873139880952381,0.8843224361662474,0.015330158516430268,51
0.14218175411224365,0.01648970914947107,0.0025209784507751465,0.00033446975801427537,logistic,0.01,"(250, 250)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.90625,0.8671875,0.8515625,0.8893849206349208,0.8785751172615165,0.0208842334549718,54
0.3978203535079956,0.04017795701307121,0.0038599371910095215,0.0012667391629032024,logistic,0.01,"(500, 500)",adaptive,adam,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.01, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate': 'adaptive', 'MLP__solver': 'adam'}",0.859375,0.7578125,0.875,0.8823164682539683,0.8435502768458982,0.05025256019012493,97
