Training Data Percentage,Train Time,Test Time
0.1,0.0020891909998681513,0.0024996259999170434
0.15000000000000002,0.0022501049998027156,0.001937478999934683
0.20000000000000004,0.0024026719997891632,0.0018569009998827823
0.25000000000000006,0.002719132000038371,0.0019388050000088697
0.30000000000000004,0.0026069739997183206,0.001954837000084808
0.3500000000000001,0.0028737360003106005,0.0021206239998718956
0.40000000000000013,0.0031176810002762068,0.0020868919996246404
0.45000000000000007,0.0033082539998758875,0.002505873999780306
0.5000000000000001,0.003962366999985534,0.0019606409996413277
0.5500000000000002,0.0038455650001196773,0.002006651000101556
0.6000000000000002,0.004305241000110982,0.0018317969997951877
0.6500000000000001,0.004349478999756684,0.0016380710003431886
0.7000000000000002,0.0059181009996791545,0.0016153400001712725
0.7500000000000002,0.005186888000025647,0.001889884999854985
0.8000000000000002,0.005909882999731053,0.001425581000148668
0.8500000000000002,0.007087545000104001,0.0014194240002325387
0.9000000000000002,0.0062841530002515356,0.0009356109999316686
0.9500000000000003,0.0071258460002354695,0.0008346820000042499
