Training Data Percentage,Train Time,Test Time
0.1,0.0041311089998998796,0.013561031999870465
0.15000000000000002,0.006150225000055798,0.014583270000002813
0.20000000000000004,0.00859806500011473,0.018670733999897493
0.25000000000000006,0.013197226999636769,0.020405685000241647
0.30000000000000004,0.01795453400018232,0.023659411999688018
0.3500000000000001,0.02416457299977992,0.023239733000082197
0.40000000000000013,0.03063003800025399,0.024461826999868208
0.45000000000000007,0.039018903999931354,0.024609488999885798
0.5000000000000001,0.044927594999990106,0.023748438999973587
0.5500000000000002,0.05283861899988551,0.024500274999809335
0.6000000000000002,0.0631207970000105,0.022628588999850763
0.6500000000000001,0.07292780399984622,0.020970551000118576
0.7000000000000002,0.08296399100026974,0.0205388800000037
0.7500000000000002,0.10182753500021136,0.02394909699978598
0.8000000000000002,0.12965943199969843,0.015117686000394315
0.8500000000000002,0.12900070900013816,0.01217309200001182
0.9000000000000002,0.13707753300013792,0.00925257699964277
0.9500000000000003,0.15582842000003438,0.004855852000218874
