Training Data Percentage,Train Time,Test Time
0.1,0.0026002439999501803,0.00443214100005207
0.15000000000000002,0.0033112149999396934,0.00611124800025209
0.20000000000000004,0.004616384999735601,0.006940462000329717
0.25000000000000006,0.006110438999712642,0.008396133000132977
0.30000000000000004,0.007849673999771767,0.008887225000307808
0.3500000000000001,0.010226135999801045,0.010086660000069969
0.40000000000000013,0.012540813999748934,0.009607220000361849
0.45000000000000007,0.015499497999826417,0.011525891000019328
0.5000000000000001,0.018210568000085914,0.009686558000339573
0.5500000000000002,0.023303909999867756,0.009567741999944701
0.6000000000000002,0.02576831200030938,0.010346132999984547
0.6500000000000001,0.030526188999829174,0.009290296000017406
0.7000000000000002,0.03437155099982192,0.00860795100015821
0.7500000000000002,0.03854810199982239,0.007338627000081033
0.8000000000000002,0.04448309400004291,0.006779983999877004
0.8500000000000002,0.04896540700019614,0.005193639999561128
0.9000000000000002,0.055018420000124024,0.0037668820000362757
0.9500000000000003,0.06405188000007911,0.0040082350001284794
