Training Data Percentage,Train Time,Test Time
0.1,0.006021145000001837,0.024842049000000088
0.15000000000000002,0.00995796200000143,0.030822913999998036
0.20000000000000004,0.016478402000000614,0.04140107399999948
0.25000000000000006,0.024843706999998716,0.04588180200000025
0.30000000000000004,0.03785925500000076,0.051681837000000286
0.3500000000000001,0.046008236000002256,0.05496354799999992
0.40000000000000013,0.06210935700000064,0.06409795100000082
0.45000000000000007,0.08236005399999868,0.06400710300000156
0.5000000000000001,0.0977734450000014,0.0572333890000003
0.5500000000000002,0.11058601899999942,0.05839861500000154
0.6000000000000002,0.13380277499999949,0.055327427999998235
0.6500000000000001,0.1635003380000022,0.05210388199999727
0.7000000000000002,0.19242372399999752,0.0472508710000028
0.7500000000000002,0.2200998460000001,0.04515453500000177
0.8000000000000002,0.24912940799999816,0.03713778200000206
0.8500000000000002,0.2755072950000006,0.03189020099999951
0.9000000000000002,0.3268358059999983,0.022476527000002022
0.9500000000000003,0.3507635829999991,0.01282816300000178
