Training Data Percentage,Train Time,Test Time
0.1,0.0022169249999706153,0.0033399730000382988
0.15000000000000002,0.002828089999979966,0.004522483000016564
0.20000000000000004,0.003333890999954292,0.004836449000038101
0.25000000000000006,0.004265893999956916,0.006001227000012932
0.30000000000000004,0.005787515000008625,0.006322486999977173
0.3500000000000001,0.006642177999992782,0.006743030999984967
0.40000000000000013,0.008242035999955988,0.007109984000010172
0.45000000000000007,0.009641315999999733,0.00686127099999112
0.5000000000000001,0.012346213999990141,0.006858544000010625
0.5500000000000002,0.01496379299999262,0.006659440999953858
0.6000000000000002,0.01568434400002161,0.006187313999987509
0.6500000000000001,0.01658111500000814,0.005719993000013801
0.7000000000000002,0.019206131000032656,0.00548089900001969
0.7500000000000002,0.022738040999968234,0.004683651999982885
0.8000000000000002,0.026307324000015342,0.0037685030000034203
0.8500000000000002,0.028958801000044332,0.0032712849999825266
0.9000000000000002,0.03119695899999897,0.002497370000014598
0.9500000000000003,0.040429141000004165,0.0017048649999651388
