mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADA__base_estimator__class_weight,param_ADA__base_estimator__criterion,param_ADA__base_estimator__max_depth,param_ADA__learning_rate,param_ADA__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014304542541503906,0.0010023324017878997,0.001620912551879883,0.00010745402367791292,balanced,entropy,1,0.001,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 5}",0.559325848315871,0.5333214387651636,0.5461376086847264,0.5405588782228476,0.5794759679013587,0.5517628130000473,0.0162597289899296,1400
0.025234460830688477,0.0005118938506523227,0.002103757858276367,3.588572669676415e-05,balanced,entropy,1,0.001,10,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 10}",0.559325848315871,0.5333214387651636,0.5461376086847264,0.5405588782228476,0.6108826220802901,0.5580376970371652,0.02774655648418697,1394
0.03676924705505371,0.000302887908756307,0.0025973796844482424,3.9832146123732107e-05,balanced,entropy,1,0.001,15,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 15}",0.559325848315871,0.5333214387651636,0.5461376086847264,0.5405588782228476,0.6108826220802901,0.5580376970371652,0.02774655648418697,1394
0.07293848991394043,0.001746971809451431,0.004217720031738282,9.443261218368319e-05,balanced,entropy,1,0.001,30,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 30}",0.559325848315871,0.569433933445836,0.5461376086847264,0.5405588782228476,0.6108826220802901,0.5652651378131466,0.024927210582170276,1348
0.1226231575012207,0.006752182791040029,0.006320428848266601,0.00021271285010367028,balanced,entropy,1,0.001,50,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 50}",0.5584342050438049,0.569433933445836,0.5461376086847264,0.5503617504019575,0.6108826220802901,0.5670449443116649,0.023300277005154447,1326
0.23673267364501954,0.0038382309807723164,0.012293195724487305,0.0011968376586682973,balanced,entropy,1,0.001,100,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 100}",0.5584342050438049,0.569433933445836,0.5461376086847264,0.5503617504019575,0.6108826220802901,0.5670449443116649,0.023300277005154447,1326
0.35218105316162107,0.002480437247703873,0.01731901168823242,0.001233196507454557,balanced,entropy,1,0.001,150,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 150}",0.5584342050438049,0.569433933445836,0.5569662591173371,0.5503617504019575,0.6108826220802901,0.5692084516167093,0.021706765356839384,1288
0.013959264755249024,0.00031297230035786804,0.001628732681274414,5.3709435509683137e-05,balanced,entropy,1,0.011,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 5}",0.5584342050438049,0.569433933445836,0.5461376086847264,0.5503617504019575,0.6108826220802901,0.5670449443116649,0.023300277005154447,1326
0.025374221801757812,0.0004997729640939182,0.002138853073120117,6.835340496160563e-05,balanced,entropy,1,0.011,10,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 10}",0.5584342050438049,0.569433933445836,0.5461376086847264,0.5503617504019575,0.6108826220802901,0.5670449443116649,0.023300277005154447,1326
0.03823542594909668,0.002234983494572168,0.002655363082885742,0.00014023063359849854,balanced,entropy,1,0.011,15,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 15}",0.5584342050438049,0.569433933445836,0.5569662591173371,0.5503617504019575,0.6108826220802901,0.5692084516167093,0.021706765356839384,1288
0.07064976692199706,0.00034205555839181154,0.004129171371459961,7.322548387711335e-05,balanced,entropy,1,0.011,30,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 30}",0.5762141015778729,0.569433933445836,0.5569662591173371,0.5503617504019575,0.6108826220802901,0.5727729467822802,0.021096087126952406,1221
0.11957077980041504,0.0018972881735096019,0.006337594985961914,0.00017546385484111933,balanced,entropy,1,0.011,50,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 50}",0.5762141015778729,0.569433933445836,0.5614796834327417,0.5503617504019575,0.6108826220802901,0.5736747051812525,0.020488877846744094,1207
