mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADA__base_estimator__class_weight,param_ADA__base_estimator__criterion,param_ADA__base_estimator__max_depth,param_ADA__learning_rate,param_ADA__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.10074180364608765,0.0029433064411759427,0.008075237274169922,0.000368842364947297,balanced,entropy,1,0.011,100,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 100}",0.637330754352031,0.727514506769826,0.7188799217412574,0.7527486256871566,0.708937778363447,0.04331112824148643,395
0.14984071254730225,0.00313802985455821,0.011020958423614502,0.0001051676452995619,balanced,entropy,1,0.011,150,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 150}",0.6714216634429401,0.8012572533849129,0.6878209831254588,0.7687406296851577,0.7322572984333289,0.054311120193770934,119
0.006755530834197998,6.276601169421844e-05,0.0012989640235900879,1.697424753415363e-06,balanced,entropy,1,0.020999999999999998,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 5}",0.6202852998065764,0.7374274661508705,0.6837857666911229,0.717641179410295,0.6896923519598418,0.04456542646321719,885
0.011976778507232666,0.0005363556044253617,0.001727283000946045,6.070068077863033e-05,balanced,entropy,1,0.020999999999999998,10,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 10}",0.6202852998065764,0.7374274661508705,0.6837857666911229,0.717641179410295,0.6896923519598418,0.04456542646321719,885
0.017581164836883545,0.0025146402301781615,0.002419710159301758,0.0005404580031729597,balanced,entropy,1,0.020999999999999998,15,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 15}",0.6202852998065764,0.7374274661508705,0.6837857666911229,0.7233883058470767,0.691115755714203,0.04551699211056602,825
0.030972421169281006,0.0004621203846707876,0.003175973892211914,0.00012720485853389029,balanced,entropy,1,0.020999999999999998,30,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 30}",0.6202852998065764,0.727514506769826,0.7105649303008074,0.7348825587206399,0.698152802342584,0.04597400123430798,628
0.051180481910705566,0.0010500495780934019,0.004861295223236084,0.0004280767701886147,balanced,entropy,1,0.020999999999999998,50,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 50}",0.637330754352031,0.727514506769826,0.7188799217412574,0.7527486256871566,0.708937778363447,0.04331112824148643,395
0.09975522756576538,0.001519681045982162,0.007789731025695801,0.0002500552027602844,balanced,entropy,1,0.020999999999999998,100,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 100}",0.6771034816247582,0.7963007736943908,0.6820738566886773,0.7738630684657674,0.732274226015484,0.05341354575664985,116
0.15040254592895508,0.0030109410998139003,0.011404454708099365,0.00027452190517216493,balanced,entropy,1,0.020999999999999998,150,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.020999999999999998, 'ADA__n_estimators': 150}",0.6778288201160542,0.7963007736943908,0.7042064074345808,0.7911044477761122,0.7422496188358786,0.05224996246378825,57
0.006898760795593262,0.0002842294718824999,0.0013211369514465332,3.7753555651969615e-05,balanced,entropy,1,0.030999999999999996,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.030999999999999996, 'ADA__n_estimators': 5}",0.6202852998065764,0.7374274661508705,0.6837857666911229,0.717641179410295,0.6896923519598418,0.04456542646321719,885
