mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ADA__base_estimator__class_weight,param_ADA__base_estimator__criterion,param_ADA__base_estimator__max_depth,param_ADA__learning_rate,param_ADA__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008726263046264648,0.00054926776008313,0.0013962745666503905,0.00012042584501222443,balanced,entropy,1,0.001,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 5}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.014210796356201172,0.0005370227761857656,0.001810598373413086,0.0002670635643547445,balanced,entropy,1,0.001,10,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 10}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.020767402648925782,0.0006169820552269648,0.002056598663330078,8.962077959693273e-05,balanced,entropy,1,0.001,15,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 15}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.04071464538574219,0.004246563571009047,0.0033075809478759766,0.0003539255829913475,balanced,entropy,1,0.001,30,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 30}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.06405739784240723,0.001878519199140894,0.004467010498046875,0.00012743538846523206,balanced,entropy,1,0.001,50,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 50}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.12895660400390624,0.0031795030353246865,0.008287763595581055,0.0004828142022005865,balanced,entropy,1,0.001,100,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 100}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.1906026840209961,0.003953547223059225,0.011457729339599609,0.0002884464157278843,balanced,entropy,1,0.001,150,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.001, 'ADA__n_estimators': 150}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8868479467258602,0.8633740288568259,0.847207157417463,0.027770572225024572,1392
0.007672357559204102,0.00011169541728429102,0.0012271881103515625,1.488159802849506e-06,balanced,entropy,1,0.011,5,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 5}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.01418461799621582,0.0004534421674209094,0.0016155719757080078,3.954685128740594e-05,balanced,entropy,1,0.011,10,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 10}",0.8029232775483591,0.8424798956748533,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.845330192008658,0.025230539486464764,1393
0.02022390365600586,0.0003949365700579493,0.001968097686767578,7.13969345425725e-05,balanced,entropy,1,0.011,15,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 15}",0.8029232775483591,0.8554662029993481,0.8409565695437052,0.8774139844617092,0.8633740288568259,0.8479409808770199,0.02547126551601143,1391
0.03861160278320312,0.0007525576064730896,0.0031881809234619142,0.00030162298163896573,balanced,entropy,1,0.011,30,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 30}",0.8029232775483591,0.8554662029993481,0.8409565695437052,0.8868479467258602,0.8633740288568259,0.849817946285825,0.02781383118384061,1382
0.06396656036376953,0.0015297667133311857,0.00444326400756836,0.00011918969947066902,balanced,entropy,1,0.011,50,"{'ADA__base_estimator__class_weight': 'balanced', 'ADA__base_estimator__criterion': 'entropy', 'ADA__base_estimator__max_depth': 1, 'ADA__learning_rate': 0.011, 'ADA__n_estimators': 50}",0.8029232775483591,0.8554662029993481,0.8409565695437052,0.8962819089900113,0.8633740288568259,0.85169491169463,0.030443414503683413,1376
