mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVML__C,param_SVML__cache_size,param_SVML__class_weight,param_SVML__kernel,param_SVML__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.007199287414550781,0.004088736408612862,0.00279080867767334,0.00217605056735646,0.1,8000,balanced,linear,40000,"{'SVML__C': 0.1, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7559235976789167,0.7757495164410058,0.7090975788701397,0.7482508745627188,0.7473227416976348,0.024219204381104316,3
0.004281818866729736,5.663893538504e-05,0.0012854933738708496,3.017072664137517e-05,0.2,8000,balanced,linear,40000,"{'SVML__C': 0.2, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6878209831254588,0.7482508745627188,0.7393390656407388,0.032002084385420966,10
0.004521846771240234,0.00026609943434456476,0.0012691617012023926,7.506766657621514e-05,0.30000000000000004,8000,balanced,linear,40000,"{'SVML__C': 0.30000000000000004, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.7042064074345808,0.7591204397801101,0.746119883203747,0.026478429785529393,9
0.004565894603729248,0.0001681209734751516,0.001293957233428955,0.0001239834351983161,0.4,8000,balanced,linear,40000,"{'SVML__C': 0.4, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.7042064074345808,0.7699900049975015,0.7488119729130822,0.028162369763933333,1
0.004722476005554199,0.00014455034532232994,0.0012160539627075195,2.8883355519328665e-05,0.5,8000,balanced,linear,40000,"{'SVML__C': 0.5, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.7042064074345808,0.7699900049975015,0.7488119729130822,0.028162369763933333,1
0.004935026168823242,0.0001946781501332112,0.0012374520301818848,3.2797235756144246e-05,0.6,8000,balanced,linear,40000,"{'SVML__C': 0.6, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6935681095622405,0.7699900049975015,0.7461573510976378,0.032421204878404886,4
0.006517946720123291,0.0015813216134210786,0.0015655755996704102,0.0003205804664764172,0.7000000000000001,8000,balanced,linear,40000,"{'SVML__C': 0.7000000000000001, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6935681095622405,0.7699900049975015,0.7461573510976378,0.032421204878404886,4
0.007367253303527832,0.0009066471509789199,0.002307713031768799,0.0004237262755494788,0.8,8000,balanced,linear,40000,"{'SVML__C': 0.8, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6935681095622405,0.7699900049975015,0.7461573510976378,0.032421204878404886,4
0.00601273775100708,0.0006561915895362892,0.0018967390060424805,0.0009302496356326153,0.9,8000,balanced,linear,40000,"{'SVML__C': 0.9, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6935681095622405,0.7699900049975015,0.7461573510976378,0.032421204878404886,4
0.0056487321853637695,0.00038187145522749913,0.0014365315437316895,0.0003154616297636568,1.0,8000,balanced,linear,40000,"{'SVML__C': 1.0, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.7452852998065764,0.7757495164410058,0.6935681095622405,0.7699900049975015,0.7461573510976378,0.032421204878404886,4
