mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVML__C,param_SVML__cache_size,param_SVML__class_weight,param_SVML__kernel,param_SVML__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01580524444580078,0.0017464187836870404,0.0026461601257324217,0.00041694430615102287,0.1,8000,balanced,linear,40000,"{'SVML__C': 0.1, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5077548534995345,0.455082742316785,0.513333691525181,0.5574375104381227,0.4764887082707046,0.5019615240688654,0.034855215282428895,10
0.016265344619750977,0.001550515230916267,0.002719211578369141,0.0006337504776098933,0.2,8000,balanced,linear,40000,"{'SVML__C': 0.2, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5349863887097931,0.4542409914750341,0.513333691525181,0.5527426747573715,0.48118354395145585,0.5072599579818442,0.035674496445466414,3
0.015256261825561524,0.00046336876508233454,0.0021481990814208986,7.350865088197363e-05,0.30000000000000004,8000,balanced,linear,40000,"{'SVML__C': 0.30000000000000004, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5349863887097931,0.45472455046923144,0.5171215703130598,0.5603184323331291,0.47303021024698916,0.5080027169677844,0.038989639841907835,1
0.015592575073242188,0.0006123093594655851,0.0022858142852783202,0.00020353958172341833,0.4,8000,balanced,linear,40000,"{'SVML__C': 0.4, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5303567590801634,0.45767067841535936,0.5171215703130598,0.5603184323331291,0.47303021024698916,0.507664710325219,0.03758897204667249,2
0.0160825252532959,0.0005386292891874544,0.002102947235107422,3.8107195619807455e-05,0.5,8000,balanced,linear,40000,"{'SVML__C': 0.5, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5232645604986031,0.45767067841535936,0.5171215703130598,0.5603184323331291,0.47303021024698916,0.5062407674480289,0.036829033784162045,8
0.01740255355834961,0.0007183549746776738,0.002234220504760742,9.748830454205321e-05,0.6,8000,balanced,linear,40000,"{'SVML__C': 0.6, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5278941901282327,0.4647628769969197,0.5171215703130598,0.5603184323331291,0.4657838334353949,0.5071533874221701,0.03700562130333632,4
0.017405939102172852,0.0009033946742882888,0.0021592140197753905,9.803064576837091e-05,0.7000000000000001,8000,balanced,linear,40000,"{'SVML__C': 0.7000000000000001, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5278941901282327,0.4647628769969197,0.5171215703130598,0.5603184323331291,0.4657838334353949,0.5071533874221701,0.03700562130333632,4
0.018383169174194337,0.0010994289042102379,0.002269411087036133,0.00013797434578080166,0.8,8000,balanced,linear,40000,"{'SVML__C': 0.8, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5278941901282327,0.4647628769969197,0.5171215703130598,0.5603184323331291,0.4657838334353949,0.5071533874221701,0.03700562130333632,4
0.018971967697143554,0.00046628519151324324,0.002222013473510742,0.00010619789785101359,0.9,8000,balanced,linear,40000,"{'SVML__C': 0.9, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5278941901282327,0.4647628769969197,0.5171215703130598,0.5603184323331291,0.4657838334353949,0.5071533874221701,0.03700562130333632,4
0.018923234939575196,0.000535993715275411,0.0021869659423828123,8.432490014492018e-05,1.0,8000,balanced,linear,40000,"{'SVML__C': 1.0, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.5278941901282327,0.45767067841535936,0.5171215703130598,0.5565305535452504,0.4657838334353949,0.5049762775696985,0.03765988595611837,9
