Iterations,Train Accuracy,Test Accuracy
1,0.7529743700352907,0.6543440055890343
11,0.8850655953577248,0.8928214322032444
21,0.8852210714572423,0.9014771585201737
31,0.8740111134962475,0.9031423684985546
41,0.8824767460476434,0.8982665462224493
51,0.8847917561869844,0.8977420697651998
61,0.8884723383195788,0.9014702382603206
71,0.8868335486569177,0.9011975773807874
81,0.8910109124790049,0.8987163314170553
91,0.8837432554944781,0.9013579134624147
101,0.886135733414125,0.8989590899065897
111,0.8829570802275936,0.9000560593874514
121,0.8875864863463263,0.8941014082200537
131,0.8878594837150475,0.8924767662840714
141,0.8857563354613189,0.898688322853894
151,0.8815871934846514,0.8930559365660455
161,0.8874734943254375,0.8933635262685933
171,0.8837328858209716,0.8983052257206514
181,0.8832700037359041,0.8962118550390452
191,0.8870590454144162,0.89394989943172
201,0.8861615548037315,0.902760610514833
211,0.8864773833682346,0.8942212026724883
221,0.8892754563729192,0.8935494593877156
231,0.8875221768104732,0.8922785536656909
241,0.8852215697239931,0.89562015433236
251,0.8857559001883687,0.8966667036451544
261,0.8858300252121388,0.8995636036592852
271,0.8849470640859509,0.8853475119420705
281,0.8856849217759649,0.8906861992321682
291,0.8807163980065277,0.8878146215581941
